movie_id,ratings
634649,8.4
524434,7.2
566525,7.8
497698,7.6
429617,7.5
299534,8.3
299537,6.9
363088,7
299536,8.3
284054,7.4
284053,7.6
315635,7.4
283995,7.6
263115,7.8
284052,7.4
246655,6.5
271110,7.4
293660,7.6
166424,4.4
102899,7.1
99861,7.3
118340,7.9
127585,7.5
102382,6.5
100402,7.7
76338,6.6
76170,6.4
68721,6.9
1930,6.6
24428,7.7
71676,5
1771,7
49538,7.3
10195,6.8
10138,6.8
2080,6.3
13056,5.8
1724,6.2
1726,7.6
1979,5.6
559,6.3
1250,5.5
36668,6.4
9738,5.8
9947,5
36648,5.9
558,7.2
7220,6.3
1927,5.5
36658,7
9480,5.2
557,7.2
36586,6.5
36657,7
36647,6.7
22059,4.6
13995,4.7
8867,5.8
10658,5.4
