movie_id,ratings
,
821,8.1
,
4176,7.2
,
22584,7.5
,
12584,7.2
,
289,8.2
,
963,7.8
,
17538,6.4
,
26185,6.1
,
21717,6.9
,
18972,6.2
,
17529,7.5
,
44264,7.3
,
6644,7.4
,
16211,7.1
,
15263,6.6
,
11697,7.8
,
11385,6.6
,
11897,7.1
,
301,7.9
,
3109,7.3
,
49849,5.5
,
38357,6.3
,
27569,6.2
,
15577,6.1
,
85,7.9
,
89,7.8
,
87,7.3
,
217,6
,
9754,5.8
,
11375,5.2
,
8665,6.4
,
2655,6.4
,
12618,5.4
,
6068,6
,
4477,6.1
,
9772,6.4
,
11860,6.1
,
9331,6.6
,
5503,7.4
,
9869,6.7
,
11364,6.6
,
11092,6.8
,
3525,6.6
,
10675,6.7
,
9281,7.1
,
11,8.2
,
1891,8.4
,
1892,7.9
,
78,7.9
,
838,7.1
,
33668,6.4
,
671,7.9
,
672,7.7
,
673,8
,
674,7.8
,
675,7.7
,
767,7.7
,
12444,7.8
,
12445,8.1
,
981,7.7
,
2292,7.4
,
2293,6.8
,
2255,6.8
,
1832,6.9
,
2294,6.4
,
2295,6.9
,
76163,6.3
,
82525,6.3
,
1930,6.6
,
77930,6.1
,
77953,5.8
,
84355,6.5
,
103332,7.1
,
73567,6.5
,
81836,5.8
,
88005,6.6
,
84332,6.8
,
83770,5.6
,
80321,6.6
,
80215,7.6
,
65330,7.1
,
6977,7.9
,
4347,7.6
,
7326,7
,
4566,6.7
,
7345,8.1
,
19913,7.3
,
185,8.2
,
60243,7.9
,
12155,6.6
,
348,8.1
,
5689,6.2
,
15660,6.4
,
26325,3.8
,
34697,5.3
,
114394,5.1
,
5896,3.5
,
73621,4.3
,
126930,3.2
,
14673,6.4
,
58048,4.1
,
26827,5.5
,
26044,5.3
,
80287,5.1
,
19142,5.4
,
31281,2.8
,
31696,5.7
,
31962,6.5
,
41670,5.7
,
2149,4.8
,
46717,5.1
,
2636,5.8
,
10802,5.5
,
9623,5.5
,
9879,5.6
,
4421,6.4
,
6116,4.8
,
2667,6.3
,
1831,5.2
,
10696,4.6
,
17130,5.2
,
12779,4.9
,
8046,4
,
314,4.6
,
18189,4.5
,
3093,5
,
5857,4.5
,
63315,2.9
,
23706,4.9
,
37786,6.1
,
71880,4.3
,
58595,6
,
50620,6.5
,
175555,6.6
,
193610,6.4
,
225886,5.4
,
216015,5.9
,
391995,5.3
,
459202,5.7
,
412988,5.7
,
399796,6.2
,
503706,4.7
,
24428,7.7
,
99861,7.3
,
1771,7
,
100402,7.7
,
10195,6.8
,
76338,6.6
,
1726,7.6
,
10138,6.8
,
68721,6.9
,
1724,6.2
,
102899,7.1
,
118340,7.9
,
152,6.5
,
168,7.2
,
13475,7.4
,
199,7.3
,
174,7
,
154,7.5
,
193,6.5
,
172,5.7
,
157,6.6
,
201,6.3
,
54138,7.3
,
200,6.4
,
348,8.1
,
679,7.9
,
8077,6.3
,
8078,6.1
,
395,5.9
,
440,5.1
,
70981,6.5
,
126889,6
,
539,8.4
,
578,7.6
,
9552,7.7
,
213,8
,
274,8.3
